farrell_fine_annotation,coarse
1_Lineage_Epidermis,Ectoderm
10_Lineage_Neural_Plate_Border,Neural
12_Lineage_Somites,Mesoderm
16_Lineage_Telencephalon,Neural
17_Lineage_Endoderm_Pharyngeal,Endoderm
18_Lineage_Cephalic_Mesoderm,Neural
19_Lineage_Diencephalon,Neural
2_Lineage_Optic_Cup,Neural
26_Lineage_Endoderm_Pancreatic_Intestinal,Endoderm
29_Lineage_Prechordal_Plate,Mesoderm
3_Lineage_Tailbud,Mesoderm
32_Lineage_Notochord,Notochord
34_Lineage_Adaxial_Cells,Mesoderm
38_Lineage_EVL,Unassigned_types
40_Lineage_Primordial_Germ_Cells,Unassigned_types
5_Lineage_Heart_Primordium,Mesoderm
50_Lineage_Hindbrain_R3,Neural
52_Lineage_Hematopoeitic_ICM,Mesoderm
53_Lineage_Placode_Olfactory,Neural
55_Lineage_Placode_Adeno._Lens_Trigeminal,Neural
56_Lineage_Hindbrain_R4_5_6,Neural
57_Lineage_Placode_Epibranchial_Otic,Neural
58_Lineage_Hematopoeitic_RBI_Pronephros,Mesoderm
59_Lineage_Midbrain_Neural_Crest,Neural
60_unassigned,Ectoderm
61_unassigned,Neural
62_unassigned,Endoderm
64_unassigned,Neural
69_unassigned,Ectoderm
70_unassigned,Neural
71_unassigned,Mesoderm
72_unassigned,Neural
73_unassigned,Endoderm
74_unassigned,Mesoderm
75_unassigned,Mesoderm
76_unassigned,Endoderm
78_unassigned,Mesoderm
79_unassigned,Mesoderm
8_Lineage_Spinal_Cord,Neural
81_unassigned,Unassigned_types
82_unassigned,Unassigned_types
NA_unassigned,Unassigned_types
