Loc_id,Bl3_id,Bl3_id_uniq,Bl3_id_uniq_short
LOC118422869,KIRREL3_HMCN1,KIRREL3_HMCN1,KIRREL3_HMCN1
LOC118422884,Hypp1,Hypp1,Hypp1
LOC118422864,WDR3,WDR3,WDR3
LOC118422876,NOTUM,NOTUM,NOTUM
LOC118422873,ENPP5,ENPP5,ENPP5
LOC118422883,SORD,SORD,SORD
LOC118422874,PLB1,PLB1,PLB1
LOC118422890,FDX1,FDX1,FDX1
LOC118422879,RSPH3,RSPH3,RSPH3
LOC118422880,ZNF846,ZNF846,ZNF846
LOC118430059,SCUBE3_UMOD_SCUBE1,SCUBE3_UMOD_SCUBE1,SCUBE3_UMOD_SCUBE1
LOC118420444,ANGPT1,ANGPT1,ANGPT1
LOC118424472,ANGPTL1_CRISPLD1,ANGPTL1_CRISPLD1,ANGPTL1_CRISPLD1
LOC118423430,FHL2,FHL2,FHL2
LOC118422928,ADAMTS9,ADAMTS9,ADAMTS9
LOC118423659,FAT4,FAT4,FAT4
LOC118423610,TLL2,TLL2,TLL2
LOC118422244,MEGF10,MEGF10,MEGF10
LOC118423192,CYP27B1,CYP27B1,CYP27B1
LOC118408971,GRIK2,GRIK2,GRIK2
LOC118423604,GRIK2,GRIK2_LOC118423604,GRIK2.1
LOC118422242,ABHD4,ABHD4,ABHD4
LOC118422790,Hypp22,Hypp22,Hypp22
LOC118410108,Hypp24,Hypp24,Hypp24
LOC118422815,MFSD9,MFSD9,MFSD9
LOC118422433,FOXO4,FoxO4,FOXO4
LOC118422468,Hypp27,Hypp27,Hypp27
LOC118422464,TEX11,TEX11,TEX11
LOC118422467,PGLYRP1,PGLYRP1,PGLYRP1
LOC118407455,TNR_DMBT1_PRSS12,TNR_DMBT1_PRSS12,TNR_DMBT1_PRSS12
LOC118407816,FCN1,FCN1,FCN1
LOC118430451,ANGPT2_ANGPTL1_ANGPTL7,ANGPT2_ANGPTL1_ANGPTL7,ANGPT2_ANGPTL1_ANGPTL7
LOC118413020,RET,RET,RET
LOC118412895,RET_FGFR1,RET_FGFR1,RET_FGFR1
