loc_id,Bl3_id,Bl3_id_uniq
LOC118419774,A1CF,A1cf
LOC118419359,A1CF,A1cf-Loc118419359
LOC118424356,AAAS,Aaas
LOC118426081,AACS,Aacs
LOC118427050,AADAC,Aadac
LOC118418488,AADAC,Aadac-Loc118418488
LOC118428318,AADAC,Aadac-Loc118428318
LOC118426834,AADAC_NCEH1,Aadac-Nceh1
LOC118419012,AADAT,Aadat
LOC118419877,AADAT,Aadat-Loc118419877
LOC118420653,AADAT,Aadat-Loc118420653
LOC118409263,AAGAB,Aagab
LOC118410835,AAK1,Aak1
LOC118405720,AAMP,Aamp
LOC118414176,AANAT,Aanat
LOC118419053,AAR2,Aar2
LOC118417386,AARS,Aars
LOC118421419,AARS2,Aars2
LOC118414006,AASDH,Aasdh
LOC118419340,AASDH,Aasdh-Loc118419340
LOC118419057,AASDHPPT_VWA3A,Aasdhppt-Vwa3a
LOC118427549,AASS,Aass
LOC118415155,AASS,Aass-Loc118415155
LOC118415358,AASS,Aass-Loc118415358
LOC118407377,AATF,Aatf
LOC118428594,AATK,Aatk
LOC118429106,ABAT,Abat
LOC118411623,ABC7-42404400C24.1,Abc7-42404400c24.1
LOC118412416,ABC7-42404400C24.1,Abc7-42404400c24.1-Loc118412416
LOC118412588,ABC7-42404400C24.1,Abc7-42404400c24.1-Loc118412588
LOC118428509,ABCA3,Abca3
LOC118417414,ABCA3_ABCA4,Abca3-Abca4
LOC118430177,ABCA4,Abca4
LOC118420736,ABCA4,Abca4-Loc118420736
LOC118431360,ABCA4,Abca4-Loc118431360
LOC118429310,ABCA5,Abca5
LOC118424963,ABCB1,Abcb1
LOC118423846,ABCB1,Abcb1-Loc118423846
LOC118420955,ABCB10,Abcb10
LOC118408520,ABCB10_ABCB8,Abcb10-Abcb8
LOC118424451,ABCB6,Abcb6
LOC118422695,ABCB7,Abcb7
LOC118424260,ABCB8,Abcb8
LOC118425256,ABCB9,Abcb9
LOC118425257,ABCB9,Abcb9-Loc118425257
LOC118426229,ABCB9,Abcb9-Loc118426229
LOC118426613,ABCB9,Abcb9-Loc118426613
LOC118403624,ABCC1,Abcc1
LOC118418190,ABCC1,Abcc1-Loc118418190
LOC118428483,ABCC1,Abcc1-Loc118428483
LOC118428883,ABCC1,Abcc1-Loc118428883
LOC118403448,ABCC3,Abcc3
LOC118430730,ABCC4,Abcc4
LOC118404538,ABCC4_ABCC3,Abcc4-Abcc3
LOC118414272,ABCC4,Abcc4-Loc118414272
LOC118426883,ABCC4,Abcc4-Loc118426883
LOC118428194,ABCC4,Abcc4-Loc118428194
LOC118426887,ABCC5,Abcc5
LOC118411115,ABCC5,Abcc5-Loc118411115
LOC118426876,ABCC5,Abcc5-Loc118426876
LOC118427078,ABCC5,Abcc5-Loc118427078
LOC118405793,ABCC8,Abcc8
LOC118425856,ABCC9,Abcc9
LOC118404895,ABCC9,Abcc9-Loc118404895
LOC118406005,ABCC9,Abcc9-Loc118406005
LOC118429055,ABCC9,Abcc9-Loc118429055
LOC118415858,ABCD2,Abcd2
LOC118431817,ABCD3,Abcd3
LOC118424424,ABCD4,Abcd4
LOC118419200,ABCE1,Abce1
LOC118420435,ABCF1,Abcf1
LOC118424030,ABCF2,Abcf2
LOC118430396,ABCF3,Abcf3
LOC118428091,ABCG1,Abcg1
LOC118410827,ABCG1,Abcg1-Loc118410827
LOC118425055,ABCG2,Abcg2
LOC118410845,ABCG2,Abcg2-Loc118410845
LOC118430026,ABCG2,Abcg2-Loc118430026
LOC118431657,ABHD10,Abhd10
LOC118425732,ABHD11,Abhd11
LOC118424146,ABHD12,Abhd12
LOC118404499,ABHD13,Abhd13
LOC118416615,ABHD14B,Abhd14b
LOC118426195,ABHD15,Abhd15
LOC118421366,ABHD16A,Abhd16a
LOC118406546,ABHD17C,Abhd17c
LOC118411137,ABHD18,Abhd18
LOC118409935,ABHD2,Abhd2
LOC118405120,ABHD3,Abhd3
